HexID	DateTime	Latitude	Longitude	Altitude
AB0DC5	2019/07/12 02:07:59.716	20.05215	-155.33569	11700
AB0DC5	2019/07/12 02:08:01.764	20.05294	-155.33769	11700
AB0DC5	2019/07/12 02:08:02.748	20.05330	-155.33854	11700
AB0DC5	2019/07/12 02:08:03.780	20.05373	-155.33959	11700
AB0DC5	2019/07/12 02:08:38.890	20.06731	-155.37336	12100
AB0DC5	2019/07/12 02:08:39.890	20.06772	-155.37434	12100
AB0DC5	2019/07/12 02:08:40.762	20.06799	-155.37513	12100
AB0DC5	2019/07/12 02:08:41.674	20.06841	-155.37606	12100
AB0DC5	2019/07/12 02:08:43.843	20.06923	-155.37809	12100
AB0DC5	2019/07/12 02:08:44.323	20.06941	-155.37856	12100
AB0DC5	2019/07/12 02:08:44.875	20.06964	-155.37915	12100
AB0DC5	2019/07/12 02:08:45.723	20.06996	-155.37993	12100
AB0DC5	2019/07/12 02:08:47.707	20.07074	-155.38185	12200
AB0DC5	2019/07/12 02:08:51.724	20.07234	-155.38572	12200
AB0DC5	2019/07/12 02:08:52.796	20.07277	-155.38683	12200
AB0DC5	2019/07/12 02:09:09.447	20.07938	-155.40301	12300
AB0DC5	2019/07/12 02:09:13.488	20.08104	-155.40701	12400
AB0DC5	2019/07/12 02:09:18.544	20.08305	-155.41191	12400
AB0DC5	2019/07/12 02:09:21.729	20.08434	-155.41505	12500
AB0DC5	2019/07/12 02:09:22.769	20.08475	-155.41603	12500
AB0DC5	2019/07/12 02:09:24.913	20.08562	-155.41819	12500
AB0DC5	2019/07/12 02:09:25.850	20.08599	-155.41909	12500
AB0DC5	2019/07/12 02:09:27.034	20.08645	-155.42029	12500
AB0DC5	2019/07/12 02:09:28.058	20.08687	-155.42124	12500
A327A9	2019/07/12 04:27:42.907	19.77451	-154.98383	6375
A327A9	2019/07/12 04:27:44.868	19.77674	-154.98363	6475
A327A9	2019/07/12 04:27:46.919	19.77910	-154.98330	6575
A327A9	2019/07/12 04:27:47.929	19.78023	-154.98313	6600
A327A9	2019/07/12 04:27:53.141	19.78629	-154.98197	6825
A327A9	2019/07/12 04:27:54.052	19.78735	-154.98168	6875
A327A9	2019/07/12 04:27:55.072	19.78856	-154.98143	6925
A327A9	2019/07/12 04:27:56.182	19.78986	-154.98109	6975
